"Truth","pairs","Protein1","Protein2"
"negative","Q9D880-Q80X80","Q80X80","Q9D880"
"negative","Q9CQ92-Q9CQ54","Q9CQ54","Q9CQ92"
"negative","Q99LG1-Q60857","Q60857","Q99LG1"
"positive","Q9Z1Q2-Q9JIG8","Q9Z1Q2","Q9JIG8"
"positive","Q8C145-P17047","Q8C145","P17047"
"negative","Q9CQG6-P97300","P97300","Q9CQG6"
"negative","Q9CZB9-Q91VS7","Q91VS7","Q9CZB9"
"negative","Q9QYA2-Q91VS7","Q91VS7","Q9QYA2"
"positive","Q9R1J0-Q80WQ6","Q9R1J0","Q80WQ6"
"negative","Q9CRC0-Q61009","Q61009","Q9CRC0"
"negative","Q8VEF1-Q61090","Q61090","Q8VEF1"
"negative","Q9D8V7-B2RXV4","B2RXV4","Q9D8V7"
"negative","Q8VCH6-P36895","P36895","Q8VCH6"
"negative","Q9Z127-Q9CQG6","Q9CQG6","Q9Z127"
"positive","Q62186-Q61335","Q62186","Q61335"
"negative","Q6VNS1-O35445","O35445","Q6VNS1"
"positive","Q922Q8-Q8K273","Q922Q8","Q8K273"
"negative","P15920-O35166","O35166","P15920"
"negative","Q9D2R6-Q64487","Q64487","Q9D2R6"
"negative","Q9QYE5-Q9ES90","Q9ES90","Q9QYE5"
"negative","Q8K3P1-Q3U1F9","Q3U1F9","Q8K3P1"
"negative","Q9D162-Q61609","Q61609","Q9D162"
"positive","Q8C129-Q8BUV8","Q8C129","Q8BUV8"
"negative","Q9EQQ2-Q8R0X7","Q8R0X7","Q9EQQ2"
"negative","Q9CXB2-O08707","O08707","Q9CXB2"
"negative","Q80WJ7-B1AUH1","B1AUH1","Q80WJ7"
"negative","Q9WU03-Q9D8B1","Q9D8B1","Q9WU03"
"negative","Q00993-O88983","O88983","Q00993"
"positive","Q61526-P70424","Q61526","P70424"
"negative","Q91YX5-Q4VAE3","Q4VAE3","Q91YX5"
"negative","Q8R3Q0-O35445","O35445","Q8R3Q0"
"negative","Q9ES90-O55100","O55100","Q9ES90"
"positive","Q03145-P63024","Q03145","P63024"
"negative","Q8BPX9-P10417","P10417","Q8BPX9"
"negative","Q9CR22-Q91YY2","Q91YY2","Q9CR22"
"positive","P63082-P16872","P63082","P16872"
"positive","Q9D517-Q9CPU9","Q9D517","Q9CPU9"
"negative","Q497J1-P03903","P03903","Q497J1"
"negative","Q9CQH0-Q8VEM8","Q8VEM8","Q9CQH0"
"negative","Q8K2C9-P16092","P16092","Q8K2C9"
"negative","Q80VP8-Q3ULF4","Q3ULF4","Q80VP8"
"negative","Q9CR89-Q61772","Q61772","Q9CR89"
"negative","Q9JIG8-Q6ZWR6","Q6ZWR6","Q9JIG8"
"negative","Q9JJ06-Q8VE91","Q8VE91","Q9JJ06"
"negative","Q8R1V4-P00405","P00405","Q8R1V4"
"negative","Q9Z1Q2-P61804","P61804","Q9Z1Q2"
"negative","Q2HJ10-P04756","P04756","Q2HJ10"
"negative","Q8R4H9-P19783","P19783","Q8R4H9"
"positive","P98197-B1AWN4","P98197","B1AWN4"
"negative","P97449-O88587","O88587","P97449"
"negative","Q62190-O08530","O08530","Q62190"
"negative","Q9Z1X2-Q80TI0","Q80TI0","Q9Z1X2"
"negative","Q8BVA2-P15209","P15209","Q8BVA2"
"negative","Q78IK4-E9PUL5","E9PUL5","Q78IK4"
"negative","Q91ZN5-Q8K273","Q8K273","Q91ZN5"
"negative","P97751-O08705","O08705","P97751"
"negative","Q9QY73-Q9EQQ2","Q9EQQ2","Q9QY73"
"negative","Q8CAQ8-Q3U284","Q3U284","Q8CAQ8"
"negative","Q8VDI9-O70228","O70228","Q8VDI9"
"negative","Q9EPE9-Q5U4D8","Q5U4D8","Q9EPE9"
"negative","Q3UHH8-P19783","P19783","Q3UHH8"
"positive","Q9D6G9-Q91V01","Q9D6G9","Q91V01"
"negative","E9Q9K5-A2A699","A2A699","E9Q9K5"
"negative","Q9QYE6-Q8BMK4","Q8BMK4","Q9QYE6"
"negative","Q8R3H7-Q8BHK2","Q8BHK2","Q8R3H7"
"negative","Q8BK08-P0C8K7","P0C8K7","Q8BK08"
"negative","Q2HJ10-O55022","O55022","Q2HJ10"
"negative","Q9CXJ4-P41731","P41731","Q9CXJ4"
"negative","Q9EQN9-Q9CQZ0","Q9CQZ0","Q9EQN9"
"negative","Q9WUQ2-P48771","P48771","Q9WUQ2"
"negative","Q8VCA6-Q8K358","Q8K358","Q8VCA6"
"negative","Q8R429-O88967","O88967","Q8R429"
"positive","Q9CQS8-O54734","Q9CQS8","O54734"
"negative","Q64445-P34968","P34968","Q64445"
"negative","Q8R2N1-O35166","O35166","Q8R2N1"
"positive","Q9CQH0-Q8CIA5","Q9CQH0","Q8CIA5"
"negative","Q8VEM1-O08581","O08581","Q8VEM1"
"positive","Q99M08-Q99M08","Q99M08","Q99M08"
"negative","Q64692-P03893","P03893","Q64692"
"negative","Q9DC16-Q8CIW6","Q8CIW6","Q9DC16"
"negative","P97441-P30548","P30548","P97441"
"negative","Q9ES97-Q3U1F9","Q3U1F9","Q9ES97"
"negative","Q8BQU7-Q6ZWQ0","Q6ZWQ0","Q8BQU7"
"negative","Q9JIG8-O88455","O88455","Q9JIG8"
"negative","Q6ZQ29-Q62190","Q62190","Q6ZQ29"
"negative","P97363-P41272","P41272","P97363"
"negative","Q8VE91-A2A8L5","A2A8L5","Q8VE91"
"negative","Q64692-O88967","O88967","Q64692"
"negative","Q8C0L0-Q8BX90","Q8BX90","Q8C0L0"
"negative","P97363-P20491","P20491","P97363"
"negative","Q8R092-Q64676","Q64676","Q8R092"
"negative","Q8K072-Q8JZN7","Q8JZN7","Q8K072"
"negative","Q9JIG8-Q64445","Q64445","Q9JIG8"
"negative","Q9DAV9-P97363","P97363","Q9DAV9"
"positive","Q3TBT3-O35153","Q3TBT3","O35153"
"negative","Q9CR67-Q8R1I1","Q8R1I1","Q9CR67"
"negative","Q91YX5-Q0VBU9","Q0VBU9","Q91YX5"
"negative","Q63961-P97363","P97363","Q63961"
"negative","Q9D8B6-Q8JZQ2","Q8JZQ2","Q9D8B6"
"negative","Q8CGF5-P97363","P97363","Q8CGF5"
"negative","Q8BXR1-A2A699","A2A699","Q8BXR1"
"negative","Q9CZB9-P35330","P35330","Q9CZB9"
"negative","Q9CQG6-Q62312","Q62312","Q9CQG6"
"negative","Q99JP7-Q91X88","Q91X88","Q99JP7"
"positive","P61793-P56400","P61793","P56400"
"negative","Q9DCC3-P37040","P37040","Q9DCC3"
"negative","Q8CFE6-O88186","O88186","Q8CFE6"
"negative","Q00993-O35379","O35379","Q00993"
"negative","Q9CZX9-Q02242","Q02242","Q9CZX9"
"negative","Q9DCC3-Q5NC32","Q5NC32","Q9DCC3"
"negative","Q921N7-P49070","P49070","Q921N7"
"negative","Q9CQZ0-Q6PDC8","Q6PDC8","Q9CQZ0"
"positive","Q8C3X8-Q8BU14","Q8C3X8","Q8BU14"
"negative","Q9ERY9-Q8VCD6","Q8VCD6","Q9ERY9"
"negative","P97468-P61166","P61166","P97468"
"negative","P97449-P97370","P97370","P97449"
"negative","Q9D4F2-Q80X80","Q80X80","Q9D4F2"
"negative","Q9QY42-Q91XC9","Q91XC9","Q9QY42"
"negative","P49070-P43023","P43023","P49070"
"negative","Q921T2-Q8K021","Q8K021","Q921T2"
"negative","Q7TML3-O55100","O55100","Q7TML3"
"negative","Q8VCX2-O89051","O89051","Q8VCX2"
"positive","Q14CH0-Q03145","Q14CH0","Q03145"
"negative","Q8C407-P70227","P70227","Q8C407"
"negative","Q8R1K1-P56135","P56135","Q8R1K1"
"negative","Q9CPQ1-Q60720","Q60720","Q9CPQ1"
"negative","Q9QXX4-Q9D8H7","Q9D8H7","Q9QXX4"
"negative","Q9D517-P61620","P61620","Q9D517"
"negative","Q6P8H8-Q6GV12","Q6GV12","Q6P8H8"
"negative","Q9Z1X2-A2A699","A2A699","Q9Z1X2"
"negative","Q9D6I7-P58659","P58659","Q9D6I7"
"negative","Q9DAV9-Q8BPT6","Q8BPT6","Q9DAV9"
"negative","Q9D3B1-Q923J1","Q923J1","Q9D3B1"
"negative","Q7M750-Q61090","Q61090","Q7M750"
"negative","Q14BI2-A6X919","A6X919","Q14BI2"
"negative","Q9WV55-Q9CQX2","Q9CQX2","Q9WV55"
"negative","Q9D0V7-Q8VEK2","Q8VEK2","Q9D0V7"
"negative","Q9R0Q3-Q8K4X7","Q8K4X7","Q9R0Q3"
"negative","Q91VK4-Q5NC32","Q5NC32","Q91VK4"
"negative","Q8VEM1-P52194","P52194","Q8VEM1"
"negative","Q9QUJ7-Q8BGY5","Q8BGY5","Q9QUJ7"
"negative","Q8R0W6-Q8K2C9","Q8K2C9","Q8R0W6"
"negative","Q9CQ92-O35445","O35445","Q9CQ92"
"negative","Q9CQS4-Q3TXX3","Q3TXX3","Q9CQS4"
"negative","P56402-O70472","O70472","P56402"
"negative","Q9DCC3-Q9D3A9","Q9D3A9","Q9DCC3"
"negative","Q9EPE9-Q922J9","Q922J9","Q9EPE9"
"negative","Q8BNI4-P62812","P62812","Q8BNI4"
"positive","Q3TBT3-P01901","Q3TBT3","P01901"
"negative","Q3UN04-P14094","P14094","Q3UN04"
"negative","Q9WUP0-Q8BQU7","Q8BQU7","Q9WUP0"
"negative","Q9R0K7-O54734","O54734","Q9R0K7"
"negative","Q91YY2-Q3UDR8","Q3UDR8","Q91YY2"
"negative","Q924Z4-Q6VNS1","Q6VNS1","Q924Z4"
"negative","Q9R0P6-P70206","P70206","Q9R0P6"
"negative","Q9CQB5-Q8BVF7","Q8BVF7","Q9CQB5"
"negative","Q9D7B7-P04441","P04441","Q9D7B7"
"negative","Q8VC65-Q8R2N1","Q8R2N1","Q8VC65"
"negative","Q3TP92-O08579","O08579","Q3TP92"
"positive","P11911-O88551","P11911","O88551"
"negative","Q9D666-Q8K2Y3","Q8K2Y3","Q9D666"
"negative","Q8VCA5-Q3UVK0","Q3UVK0","Q8VCA5"
"negative","Q8CIA9-P43407","P43407","Q8CIA9"
"negative","Q9JLJ4-P52194","P52194","Q9JLJ4"
"negative","Q9WTL4-Q8VCB1","Q8VCB1","Q9WTL4"
"negative","Q9JKK1-Q3V3Z3","Q3V3Z3","Q9JKK1"
"negative","Q99KC7-P18762","P18762","Q99KC7"
"negative","Q9JJR8-A2ARI4","A2ARI4","Q9JJR8"
"negative","Q9DC60-Q8BLF1","Q8BLF1","Q9DC60"
"negative","Q4PJX1-P18762","P18762","Q4PJX1"
"negative","Q9DCI3-A6X919","A6X919","Q9DCI3"
"negative","Q8K0D7-Q8BG16","Q8BG16","Q8K0D7"
"negative","Q922J6-P15209","P15209","Q922J6"
"negative","Q9QY33-Q9D7B7","Q9D7B7","Q9QY33"
"negative","Q9ES97-Q5NCE8","Q5NCE8","Q9ES97"
"negative","Q61090-Q0VBU9","Q0VBU9","Q61090"
"negative","Q99KU0-Q80ZI2","Q80ZI2","Q99KU0"
"negative","Q7TQE6-P28230","P28230","Q7TQE6"
"positive","Q8VDN2-Q8VCM5","Q8VDN2","Q8VCM5"
"negative","P60202-O35379","O35379","P60202"
"negative","Q60931-P09925","P09925","Q60931"
"negative","Q8R2Y3-Q3UN02","Q3UN02","Q8R2Y3"
"negative","P10417-O55242","O55242","P10417"
"negative","Q3U9G9-O70503","O70503","Q3U9G9"
"negative","Q80XL7-P48410","P48410","Q80XL7"
"negative","Q8VCH6-P23818","P23818","Q8VCH6"
"negative","Q9CR76-Q02242","Q02242","Q9CR76"
"negative","Q9R049-P56695","P56695","Q9R049"
"negative","Q9D1D4-Q5XG73","Q5XG73","Q9D1D4"
"negative","Q9QY42-Q8BH59","Q8BH59","Q9QY42"
"negative","Q9JJ06-P97799","P97799","Q9JJ06"
"negative","Q5U4D8-P09925","P09925","Q5U4D8"
"negative","Q99KF1-Q8JZN7","Q8JZN7","Q99KF1"
"negative","Q80TR1-Q80TI0","Q80TI0","Q80TR1"
"negative","P23818-O88967","O88967","P23818"
"negative","Q8VEK2-Q80ZI2","Q80ZI2","Q8VEK2"
"negative","Q921N7-Q8BH47","Q8BH47","Q921N7"
"negative","Q9DC60-Q06335","Q06335","Q9DC60"
"negative","Q99KG5-Q5U4D8","Q5U4D8","Q99KG5"
"positive","Q9WV18-Q8BKG3","Q9WV18","Q8BKG3"
"negative","Q8K1G2-O35516","O35516","Q8K1G2"
"negative","Q9CR62-Q8C025","Q8C025","Q9CR62"
"negative","Q9DCU2-Q9D8Y1","Q9D8Y1","Q9DCU2"
"negative","Q80X71-Q6PDC8","Q6PDC8","Q80X71"
"positive","Q9D7B7-P63024","Q9D7B7","P63024"
"negative","Q9WVL3-Q80W54","Q80W54","Q9WVL3"
"negative","P55850-E9Q9K5","E9Q9K5","P55850"
"negative","Q80ZI2-P03911","P03911","Q80ZI2"
"negative","Q9WTK3-O70496","O70496","Q9WTK3"
"negative","Q9R1J0-Q9R0Q3","Q9R0Q3","Q9R1J0"
"negative","Q9CR60-B9EJ80","B9EJ80","Q9CR60"
"negative","Q3TCT4-P27512","P27512","Q3TCT4"
"positive","Q9R049-Q9D880","Q9R049","Q9D880"
"negative","Q8CIV2-Q75N73","Q75N73","Q8CIV2"
"negative","Q8BJS4-P41588","P41588","Q8BJS4"
"negative","Q922J9-Q8R2Q6","Q8R2Q6","Q922J9"
"negative","Q9CQ92-P14901","P14901","Q9CQ92"
"negative","Q9DBH5-Q75N73","Q75N73","Q9DBH5"
"negative","Q9D4F2-Q8BHK2","Q8BHK2","Q9D4F2"
"negative","Q9R0K7-P03888","P03888","Q9R0K7"
"negative","Q9CPV9-Q8R2N1","Q8R2N1","Q9CPV9"
"negative","Q7TQH7-O54957","O54957","Q7TQH7"
"negative","Q9D6I7-Q9CPV9","Q9CPV9","Q9D6I7"
"negative","Q80ZD8-Q3UN02","Q3UN02","Q80ZD8"
"negative","P97799-O55022","O55022","P97799"
"negative","Q8CAQ8-Q8BXQ2","Q8BXQ2","Q8CAQ8"
"negative","Q8R0W6-Q8BYI8","Q8BYI8","Q8R0W6"
"positive","Q8VEM1-Q8K2C9","Q8VEM1","Q8K2C9"
"positive","Q9CZW4-Q8JZN7","Q9CZW4","Q8JZN7"
"negative","Q9CRA4-P55284","P55284","Q9CRA4"
"negative","Q9CR76-O55143","O55143","Q9CR76"
"positive","Q52KR2-P70193","Q52KR2","P70193"
"negative","Q62186-Q03146","Q03146","Q62186"
"negative","Q99M02-Q8BH66","Q8BH66","Q99M02"
"negative","Q6NZQ8-P05622","P05622","Q6NZQ8"
"negative","Q9D1D4-Q9CX30","Q9CX30","Q9D1D4"
"negative","Q9D132-Q3TA38","Q3TA38","Q9D132"
"negative","Q6ZPR5-Q6Q477","Q6Q477","Q6ZPR5"
"negative","Q9ES97-Q8VCA6","Q8VCA6","Q9ES97"
"negative","Q61526-O70174","O70174","Q61526"
"negative","Q9R0Q3-Q8K3K7","Q8K3K7","Q9R0Q3"
"negative","Q9CQZ6-P70245","P70245","Q9CQZ6"
"negative","Q3UFJ6-P35546","P35546","Q3UFJ6"
"negative","Q9CQU3-P00416","P00416","Q9CQU3"
"negative","P97742-P04756","P04756","P97742"
"negative","Q9CZB9-Q61772","Q61772","Q9CZB9"
"negative","Q8BJE2-P56695","P56695","Q8BJE2"
"negative","Q9ES90-Q7M750","Q7M750","Q9ES90"
"negative","Q5NC32-P55850","P55850","Q5NC32"
"negative","Q80X71-P03888","P03888","Q80X71"
"negative","Q9DBP0-O70228","O70228","Q9DBP0"
"negative","Q9D6G9-O54707","O54707","Q9D6G9"
"negative","Q9DCZ4-Q60857","Q60857","Q9DCZ4"
"negative","Q64436-O35912","O35912","Q64436"
"negative","Q8CGF5-P35917","P35917","Q8CGF5"
