"protein.id.A","protein.id.B","pair"
"Q9UGP8","Q8IU60","Q8IU60_Q9UGP8"
"O14967","P49916","O14967_P49916"
"Q9H313","P42285","P42285_Q9H313"
"Q8IWB9","Q14186","Q14186_Q8IWB9"
"Q92673","Q9H5N1","Q92673_Q9H5N1"
"Q9Y3E0","O60678","O60678_Q9Y3E0"
"O00526","Q5VWX1","O00526_Q5VWX1"
"Q9Y5Y3","Q8N3F8","Q8N3F8_Q9Y5Y3"
"Q9BXS4","Q2M1P5","Q2M1P5_Q9BXS4"
"Q14108","Q99856","Q14108_Q99856"
"Q92478","Q9Y4B4","Q92478_Q9Y4B4"
"Q01628","Q00796","Q00796_Q01628"
"P13073","Q53G59","P13073_Q53G59"
"P51805","Q86T13","P51805_Q86T13"
"P12236","Q2TAC2","P12236_Q2TAC2"
"Q9H015","Q02952","Q02952_Q9H015"
"Q969X5","Q8IYH5","Q8IYH5_Q969X5"
"Q9Y666","Q96HR9","Q96HR9_Q9Y666"
"P56589","J3KQN4","J3KQN4_P56589"
"Q15388","P43364","P43364_Q15388"
"Q01974","Q8TBE3","Q01974_Q8TBE3"
"Q8NE01","Q86V97","Q86V97_Q8NE01"
"Q86VU5","O75197","O75197_Q86VU5"
"P55011","P12081","P12081_P55011"
"P16389","Q9Y4Y9","P16389_Q9Y4Y9"
"P00403","Q9UP95","P00403_Q9UP95"
"P21860","Q9HBE1","P21860_Q9HBE1"
"O95573","P22415","O95573_P22415"
"Q15375","Q15544","Q15375_Q15544"
"Q07954","P55899","P55899_Q07954"
"O94905","A0A804CL36","A0A804CL36_O94905"
"Q9NZH0","Q7RTP6","Q7RTP6_Q9NZH0"
"O94826","Q9H061","O94826_Q9H061"
"Q86UE4","Q8N122","Q86UE4_Q8N122"
"Q9NUM4","O75460","O75460_Q9NUM4"
"Q53EP0","O14893","O14893_Q53EP0"
"P54764","P31146","P31146_P54764"
"P20963","Q15911","P20963_Q15911"
"Q9UBM7","Q9Y4Y9","Q9UBM7_Q9Y4Y9"
"P55899","Q9NXR8","P55899_Q9NXR8"
"P21860","P51955","P21860_P51955"
"O14957","P13798","O14957_P13798"
"Q8IZF4","Q03519","Q03519_Q8IZF4"
"P13164","P31997","P13164_P31997"
"P45880","P41219","P41219_P45880"
"Q5JTH9","Q9Y5B0","Q5JTH9_Q9Y5B0"
"Q9HBW0","Q6PGP7","Q6PGP7_Q9HBW0"
"Q12770","P01730","P01730_Q12770"
"Q03431","Q13873","Q03431_Q13873"
"P25942","Q9Y605","P25942_Q9Y605"
"Q9Y5T4","Q96F07","Q96F07_Q9Y5T4"
"Q30201","O14966","O14966_Q30201"
"Q8TCT7","Q9H6F5","Q8TCT7_Q9H6F5"
"Q8IUH5","P60660","P60660_Q8IUH5"
"P00403","P55011","P00403_P55011"
"O95672","Q8N392","O95672_Q8N392"
"Q7Z2K6","P62312","P62312_Q7Z2K6"
"P32970","Q6PCT2","P32970_Q6PCT2"
"P01375","Q02363","P01375_Q02363"
"P51648","Q8IY95","P51648_Q8IY95"
"O95159","O00401","O00401_O95159"
"Q5T4S7","Q9BZI7","Q5T4S7_Q9BZI7"
"O75844","P56180","O75844_P56180"
"Q99442","Q3LI76","Q3LI76_Q99442"
"O14786","Q5T200","O14786_Q5T200"
"P55899","Q14643","P55899_Q14643"
"Q9P2W9","P04808","P04808_Q9P2W9"
"P09669","Q8WWV3","P09669_Q8WWV3"
"Q9H1U9","Q86T13","Q86T13_Q9H1U9"
"O95167","Q9NWT1","O95167_Q9NWT1"
"Q93050","Q8IYU8","Q8IYU8_Q93050"
"Q15125","P40306","P40306_Q15125"
"P53007","Q92466","P53007_Q92466"
"Q96AG3","Q96T21","Q96AG3_Q96T21"
"Q86TM6","Q9Y5K8","Q86TM6_Q9Y5K8"
"P16234","Q5SNT2","P16234_Q5SNT2"
"O00400","Q92729","O00400_Q92729"
"P08648","Q15326","P08648_Q15326"
"P78310","P54756","P54756_P78310"
"Q9NZ01","Q8IVW6","Q8IVW6_Q9NZ01"
"Q9H2J7","Q9P0J1","Q9H2J7_Q9P0J1"
"P18433","Q92609","P18433_Q92609"
"O43169","Q9UHP3","O43169_Q9UHP3"
"O00264","P59768","O00264_P59768"
"Q9H1C4","Q14677","Q14677_Q9H1C4"
"Q5VV42","Q92797","Q5VV42_Q92797"
"Q53EP0","Q8WVM0","Q53EP0_Q8WVM0"
"P22001","Q9Y2W1","P22001_Q9Y2W1"
"Q5BVD1","O95967","O95967_Q5BVD1"
"Q7KZN9","P0DP24","P0DP24_Q7KZN9"
"Q9Y277","O60934","O60934_Q9Y277"
"Q8IUH5","Q9UK45","Q8IUH5_Q9UK45"
"P16615","O75362","O75362_P16615"
"Q9ULF5","Q8IUC1","Q8IUC1_Q9ULF5"
"P36888","P19012","P19012_P36888"
"Q15077","O43660","O43660_Q15077"
"P26715","Q8NCD3","P26715_Q8NCD3"
"Q7Z3C6","P57772","P57772_Q7Z3C6"
"Q14739","Q8N257","Q14739_Q8N257"
"Q9NVI7","P15313","P15313_Q9NVI7"
"O75976","Q9Y6Y0","O75976_Q9Y6Y0"
"Q9P035","Q9BZ76","Q9BZ76_Q9P035"
"O15118","Q96KG9","O15118_Q96KG9"
"Q68DV7","Q14562","Q14562_Q68DV7"
"Q96TC7","Q92754","Q92754_Q96TC7"
"P12236","P12532","P12236_P12532"
"Q9Y6A9","P34896","P34896_Q9Y6A9"
"P30203","Q9Y2X7","P30203_Q9Y2X7"
"P23468","Q9Y228","P23468_Q9Y228"
"P98164","P21453","P21453_P98164"
"P51648","Q9P0V9","P51648_Q9P0V9"
"Q96TA2","P12273","P12273_Q96TA2"
"Q14318","Q92526","Q14318_Q92526"
"Q6NUQ4","Q9NUQ6","Q6NUQ4_Q9NUQ6"
"P13612","Q9BRJ6","P13612_Q9BRJ6"
"Q14739","P35658","P35658_Q14739"
"O95183","Q9C0H5","O95183_Q9C0H5"
"P07550","P52739","P07550_P52739"
"Q9HD45","Q13241","Q13241_Q9HD45"
"Q8TBA6","P02538","P02538_Q8TBA6"
"P05141","P17568","P05141_P17568"
"O43819","Q96S94","O43819_Q96S94"
"Q14416","O00468","O00468_Q14416"
"P13612","Q99598","P13612_Q99598"
"Q9NVI7","Q9UJX3","Q9NVI7_Q9UJX3"
"Q9H6H4","Q12872","Q12872_Q9H6H4"
"Q16625","O94766","O94766_Q16625"
"Q9GZY8","Q9Y223","Q9GZY8_Q9Y223"
"Q9NY72","P18074","P18074_Q9NY72"
"Q3KNW5","P53680","P53680_Q3KNW5"
"P30825","Q9BRD0","P30825_Q9BRD0"
"O14880","Q9H5J8","O14880_Q9H5J8"
"Q15303","Q9P2S5","Q15303_Q9P2S5"
"Q12846","O60502","O60502_Q12846"
"Q9BSJ5","P51684","P51684_Q9BSJ5"
"Q96RD7","Q8NEV1","Q8NEV1_Q96RD7"
"Q96LL9","Q9Y6Y0","Q96LL9_Q9Y6Y0"
"Q96HD1","Q92838","Q92838_Q96HD1"
"P40259","Q13671","P40259_Q13671"
"Q01628","Q14004","Q01628_Q14004"
"P01130","O75815","O75815_P01130"
"Q8TCG1","P07996","P07996_Q8TCG1"
"Q96GC9","P0DPH7","P0DPH7_Q96GC9"
"P12830","Q8N6Y0","P12830_Q8N6Y0"
"O14957","P51003","O14957_P51003"
"Q96HA1","P02652","P02652_Q96HA1"
"Q96JN2","Q9Y4G8","Q96JN2_Q9Y4G8"
"Q8N5G2","Q9HD45","Q8N5G2_Q9HD45"
"Q969P0","Q13296","Q13296_Q969P0"
"Q9Y6C9","Q9NWH9","Q9NWH9_Q9Y6C9"
"Q5JX71","Q9NQX4","Q5JX71_Q9NQX4"
"Q9BXB1","O95785","O95785_Q9BXB1"
"Q9BSJ8","P46778","P46778_Q9BSJ8"
"P20020","Q7Z2T5","P20020_Q7Z2T5"
"Q9HDC5","O75027","O75027_Q9HDC5"
"P05556","P01037","P01037_P05556"
"P36888","O60504","O60504_P36888"
"Q00765","Q53H96","Q00765_Q53H96"
"Q9H0U3","Q96II8","Q96II8_Q9H0U3"
"P55011","Q13503","P55011_Q13503"
"P12830","Q9BT25","P12830_Q9BT25"
"P32241","P08173","P08173_P32241"
"Q9HC97","Q13241","Q13241_Q9HC97"
"P05187","Q6ZNA4","P05187_Q6ZNA4"
"P46977","O43264","O43264_P46977"
"Q9Y5U4","Q08AD1","Q08AD1_Q9Y5U4"
"P27487","Q00765","P27487_Q00765"
"Q12797","Q9NUL3","Q12797_Q9NUL3"
"Q9GZP9","O95297","O95297_Q9GZP9"
"P35499","P01036","P01036_P35499"
"Q96TA2","Q7L1Q6","Q7L1Q6_Q96TA2"
"Q9UGP8","Q9NS87","Q9NS87_Q9UGP8"
"Q9BYF1","Q8IYH5","Q8IYH5_Q9BYF1"
"Q9HD20","P10415","P10415_Q9HD20"
"O60469","Q14005","O60469_Q14005"
"Q86VR2","O75127","O75127_Q86VR2"
"P29972","P30307","P29972_P30307"
"P63027","Q149N8","P63027_Q149N8"
"Q3ZAQ7","Q8IWU2","Q3ZAQ7_Q8IWU2"
"Q6J9G0","Q13576","Q13576_Q6J9G0"
"A8CG34","P62070","A8CG34_P62070"
"P37173","Q9BVJ7","P37173_Q9BVJ7"
"Q9Y5E6","Q99549","Q99549_Q9Y5E6"
"Q8N766","Q13586","Q13586_Q8N766"
"P51572","Q8N3Y1","P51572_Q8N3Y1"
"Q53EP0","Q01581","Q01581_Q53EP0"
"P05362","Q9P2R7","P05362_Q9P2R7"
"Q92673","A0A7N4I394","A0A7N4I394_Q92673"
"P61073","Q9NZH0","P61073_Q9NZH0"
"P05187","Q8NHH9","P05187_Q8NHH9"
"P21860","P82912","P21860_P82912"
"P17302","Q8N1G0","P17302_Q8N1G0"
"Q96FT7","Q9NVK5","Q96FT7_Q9NVK5"
"Q14573","Q9BUV8","Q14573_Q9BUV8"
"Q92896","Q9Y4C2","Q92896_Q9Y4C2"
"Q06481","Q5T7P2","Q06481_Q5T7P2"
"O00483","Q12974","O00483_Q12974"
"P61619","Q9NYA4","P61619_Q9NYA4"
"Q9BVI4","O15016","O15016_Q9BVI4"
"Q8WXI8","Q8NEY1","Q8NEY1_Q8WXI8"
"P13164","Q8TDN6","P13164_Q8TDN6"
"Q99442","P11586","P11586_Q99442"
"P04439","Q9Y2W2","P04439_Q9Y2W2"
"P05023","Q9GZT3","P05023_Q9GZT3"
"P30825","Q8WUY9","P30825_Q8WUY9"
"Q9NRS4","Q96BH3","Q96BH3_Q9NRS4"
"Q8NE01","Q9BYW2","Q8NE01_Q9BYW2"
"Q969N2","Q92882","Q92882_Q969N2"
"Q07820","Q9UHI8","Q07820_Q9UHI8"
"Q96G97","Q96HR8","Q96G97_Q96HR8"
"O75976","Q7Z5P4","O75976_Q7Z5P4"
"O94966","P40259","O94966_P40259"
"Q9Y2G8","Q9NUL3","Q9NUL3_Q9Y2G8"
"P41587","Q8N2A8","P41587_Q8N2A8"
"Q9P244","Q96S55","Q96S55_Q9P244"
"Q9UM00","Q7L190","Q7L190_Q9UM00"
"Q96A33","Q9BYQ6","Q96A33_Q9BYQ6"
"P27824","O15534","O15534_P27824"
"O75396","Q9UI10","O75396_Q9UI10"
"Q13190","P04062","P04062_Q13190"
"Q14789","P15408","P15408_Q14789"
"P16435","O75436","O75436_P16435"
"Q9ULF5","Q16352","Q16352_Q9ULF5"
"Q96TC7","Q9Y5B8","Q96TC7_Q9Y5B8"
"P13073","Q8IXL6","P13073_Q8IXL6"
"O15400","Q9NP79","O15400_Q9NP79"
"Q96HA1","Q9NSY1","Q96HA1_Q9NSY1"
"O75880","Q92729","O75880_Q92729"
"P32246","Q8ND56","P32246_Q8ND56"
"Q13635","Q9Y4C2","Q13635_Q9Y4C2"
"Q969V3","P37275","P37275_Q969V3"
"Q9Y6C9","P10176","P10176_Q9Y6C9"
"P13612","P07711","P07711_P13612"
"Q8NHP6","Q5T200","Q5T200_Q8NHP6"
"Q9P2E9","Q14512","Q14512_Q9P2E9"
"P06213","Q96LL9","P06213_Q96LL9"
"Q9BXK5","P23368","P23368_Q9BXK5"
"O60704","Q9GZZ1","O60704_Q9GZZ1"
"P39656","P42356","P39656_P42356"
"Q96JN2","P39687","P39687_Q96JN2"
"Q9H9B4","Q15637","Q15637_Q9H9B4"
"Q6ZMZ3","P80723","P80723_Q6ZMZ3"
"Q9Y2H6","Q8IVD9","Q8IVD9_Q9Y2H6"
"Q13304","Q96Q89","Q13304_Q96Q89"
"P02724","Q9BV38","P02724_Q9BV38"
"Q6UX01","O75127","O75127_Q6UX01"
"O15393","Q68D86","O15393_Q68D86"
"P50402","Q14696","P50402_Q14696"
"P08574","Q8TCT0","P08574_Q8TCT0"
"Q8TB96","Q9HAV4","Q8TB96_Q9HAV4"
"O95672","Q96BM9","O95672_Q96BM9"
"Q5T3F8","Q92845","Q5T3F8_Q92845"
"P09958","Q9BYZ6","P09958_Q9BYZ6"
"Q9UM73","O60739","O60739_Q9UM73"
"O14842","Q9H0Q3","O14842_Q9H0Q3"
"Q9UQV4","Q9UGC7","Q9UGC7_Q9UQV4"
"Q9P0T7","P28290","P28290_Q9P0T7"
"P57088","Q9BWU0","P57088_Q9BWU0"
"Q15836","Q9NXH9","Q15836_Q9NXH9"
"Q14126","Q15437","Q14126_Q15437"
"P17302","P36894","P17302_P36894"
"Q14571","Q9H0Q3","Q14571_Q9H0Q3"
"Q96PE5","P24386","P24386_Q96PE5"
"P01833","O15511","O15511_P01833"
"Q8NF37","Q9Y468","Q8NF37_Q9Y468"
"O94901","Q9Y6J9","O94901_Q9Y6J9"
"Q8N4H5","P19823","P19823_Q8N4H5"
"Q96AG3","Q86V38","Q86V38_Q96AG3"
"Q01814","Q13216","Q01814_Q13216"
"Q6ZMZ3","Q96J84","Q6ZMZ3_Q96J84"
"P00533","Q13185","P00533_Q13185"
"P52799","Q5TDH0","P52799_Q5TDH0"
"Q86XL3","Q9Y4Z0","Q86XL3_Q9Y4Z0"
"Q13520","Q9HBL8","Q13520_Q9HBL8"
"Q7Z434","Q7LGA3","Q7LGA3_Q7Z434"
"Q15155","Q9BVQ7","Q15155_Q9BVQ7"
"P61619","Q9NR12","P61619_Q9NR12"
"Q8NC42","Q8IX15","Q8IX15_Q8NC42"
"P60033","P51532","P51532_P60033"
"Q9UIW2","O43255","O43255_Q9UIW2"
"P41587","Q9Y5B6","P41587_Q9Y5B6"
"O15400","P49790","O15400_P49790"
"Q9Y277","Q8IYA8","Q8IYA8_Q9Y277"
"Q8N5G2","O43586","O43586_Q8N5G2"
"Q96AG3","O15350","O15350_Q96AG3"
"Q01814","P82921","P82921_Q01814"
"O75027","Q9HCM9","O75027_Q9HCM9"
"Q96GR4","Q8IUR0","Q8IUR0_Q96GR4"
"P51572","P29320","P29320_P51572"
"P30519","Q9Y4J8","P30519_Q9Y4J8"
"Q04912","Q8NDD1","Q04912_Q8NDD1"
"Q8NCK7","Q9C0F0","Q8NCK7_Q9C0F0"
"Q96S52","O95977","O95977_Q96S52"
"P29376","O76041","O76041_P29376"
"Q01973","Q6PJG2","Q01973_Q6PJG2"
"O60858","E9PFW3","E9PFW3_O60858"
"Q9H015","P49356","P49356_Q9H015"
"P20648","Q02297","P20648_Q02297"
"Q6UX01","Q9Y399","Q6UX01_Q9Y399"
"P22607","P61604","P22607_P61604"
"O96008","Q9P2W9","O96008_Q9P2W9"
"P49286","Q9NX36","P49286_Q9NX36"
"P10586","Q13886","P10586_Q13886"
"Q86VU5","Q9Y5Z0","Q86VU5_Q9Y5Z0"
"Q14126","Q5VTL8","Q14126_Q5VTL8"
"O00299","Q14320","O00299_Q14320"
"Q9BUN8","Q70IA8","Q70IA8_Q9BUN8"
"Q9UHQ9","O75525","O75525_Q9UHQ9"
"P43115","Q5W5X9","P43115_Q5W5X9"
"Q12846","Q8IWR0","Q12846_Q8IWR0"
"P05556","P30260","P05556_P30260"
"Q9HDC5","O00461","O00461_Q9HDC5"
"Q8N5G2","Q7L5D6","Q7L5D6_Q8N5G2"
"Q92478","Q7Z401","Q7Z401_Q92478"
"Q9BUV8","O95139","O95139_Q9BUV8"
"P23229","P10827","P10827_P23229"
"Q9UBM7","Q68CQ4","Q68CQ4_Q9UBM7"
"Q12866","Q96EC8","Q12866_Q96EC8"
"P15941","Q70IA6","P15941_Q70IA6"
"Q86VU5","P24390","P24390_Q86VU5"
"Q8WXI8","P22059","P22059_Q8WXI8"
"Q9BXM7","Q04206","Q04206_Q9BXM7"
"Q9BXS4","Q5T5U3","Q5T5U3_Q9BXS4"
"Q04721","O75935","O75935_Q04721"
"P60059","P02686","P02686_P60059"
"P53007","P20674","P20674_P53007"
"O00468","O43818","O00468_O43818"
"P60059","O14933","O14933_P60059"
"P54709","Q9UHI8","P54709_Q9UHI8"
"Q96RD7","Q6AI08","Q6AI08_Q96RD7"
"Q14789","Q8WZ73","Q14789_Q8WZ73"
"Q8NBN3","Q6PJF5","Q6PJF5_Q8NBN3"
"Q9UM73","Q02750","Q02750_Q9UM73"
"Q9BXK5","Q9BT67","Q9BT67_Q9BXK5"
"P08247","P61457","P08247_P61457"
"P16234","Q9UI36","P16234_Q9UI36"
"Q13291","O75344","O75344_Q13291"
"O60313","Q9UH62","O60313_Q9UH62"
"Q8NFQ8","Q9P289","Q8NFQ8_Q9P289"
"P13612","Q9UJC3","P13612_Q9UJC3"
"Q04912","P35573","P35573_Q04912"
"Q9UQV4","O75970","O75970_Q9UQV4"
"Q8TBP5","P11532","P11532_Q8TBP5"
"Q969X5","Q15915","Q15915_Q969X5"
"Q8NE01","O43292","O43292_Q8NE01"
"Q08554","Q3MIR4","Q08554_Q3MIR4"
"Q8NI60","P10074","P10074_Q8NI60"
"O15393","Q96JB6","O15393_Q96JB6"
"Q9Y6H6","Q96HS1","Q96HS1_Q9Y6H6"
"Q9UGP8","Q9NQT5","Q9NQT5_Q9UGP8"
"Q9Y666","Q96EK4","Q96EK4_Q9Y666"
"Q5BJF2","Q9NVA1","Q5BJF2_Q9NVA1"
"Q9NV96","J3KPD9","J3KPD9_Q9NV96"
"P10321","Q96CB9","P10321_Q96CB9"
"Q92482","P36639","P36639_Q92482"
"Q9UBH6","P01127","P01127_Q9UBH6"
"Q9NRS4","Q9Y2R4","Q9NRS4_Q9Y2R4"
"P56589","Q15643","P56589_Q15643"
"P49755","P31431","P31431_P49755"
"O00526","Q14766","O00526_Q14766"
"O15400","Q96KG9","O15400_Q96KG9"
"Q6J9G0","Q92845","Q6J9G0_Q92845"
"P12830","Q9Y6X2","P12830_Q9Y6X2"
"Q9Y282","O60941","O60941_Q9Y282"
"O15529","Q8TEH3","O15529_Q8TEH3"
"Q9NUM4","P11908","P11908_Q9NUM4"
"Q96GQ5","O95490","O95490_Q96GQ5"
"Q9H5K3","Q7Z4Q2","Q7Z4Q2_Q9H5K3"
"Q08345","P13497","P13497_Q08345"
"O00559","O00442","O00442_O00559"
"P32241","Q9UK85","P32241_Q9UK85"
"P07550","Q9NQT4","P07550_Q9NQT4"
"Q96HS1","P55212","P55212_Q96HS1"
"Q9UBM7","Q8NEJ9","Q8NEJ9_Q9UBM7"
"Q12797","Q9P2F8","Q12797_Q9P2F8"
"P29376","Q92889","P29376_Q92889"
"Q96F46","Q9BZQ6","Q96F46_Q9BZQ6"
"P36956","Q9NSP4","P36956_Q9NSP4"
"Q9BXK5","Q8N3R9","Q8N3R9_Q9BXK5"
"P30530","P54727","P30530_P54727"
"P11279","Q8IYB1","P11279_Q8IYB1"
"P25090","Q9NZQ3","P25090_Q9NZQ3"
"Q4KMQ2","Q9NTX7","Q4KMQ2_Q9NTX7"
"Q15836","Q96E35","Q15836_Q96E35"
"P10176","Q8TD19","P10176_Q8TD19"
"O14672","Q4ZIN3","O14672_Q4ZIN3"
"P27824","A0A0B4J2C3","A0A0B4J2C3_P27824"
"Q5TGI0","O00330","O00330_Q5TGI0"
"P28335","Q8IYX8","P28335_Q8IYX8"
"Q9UM00","Q9NVX0","Q9NVX0_Q9UM00"
"Q6P4A7","O94880","O94880_Q6P4A7"
"Q9NPA0","Q96HW7","Q96HW7_Q9NPA0"
"P34925","Q15072","P34925_Q15072"
"P13637","P0C7T5","P0C7T5_P13637"
"P98164","P17542","P17542_P98164"
"Q8TC12","Q16825","Q16825_Q8TC12"
"O60858","Q8WX93","O60858_Q8WX93"
"Q9NY72","Q6EMK4","Q6EMK4_Q9NY72"
"O14842","P21673","O14842_P21673"
"P10176","Q99536","P10176_Q99536"
"Q96N66","Q01831","Q01831_Q96N66"
"Q13021","Q53HL2","Q13021_Q53HL2"
"O00468","Q2M1P5","O00468_Q2M1P5"
"Q07812","P48668","P48668_Q07812"
"P56962","Q8IZQ1","P56962_Q8IZQ1"
"P13612","Q9ULK5","P13612_Q9ULK5"
"Q8TCT9","G3V1L9","G3V1L9_Q8TCT9"
"Q68DV7","Q9NUJ1","Q68DV7_Q9NUJ1"
"Q6PJF5","Q9Y666","Q6PJF5_Q9Y666"
"Q8IWB9","Q08554","Q08554_Q8IWB9"
"Q6ZMQ8","Q14571","Q14571_Q6ZMQ8"
"Q13635","Q9HD45","Q13635_Q9HD45"
"O95070","Q86TI2","O95070_Q86TI2"
"P04844","Q8WYQ5","P04844_Q8WYQ5"
"Q6P1M0","Q9NSC2","Q6P1M0_Q9NSC2"
"O15118","Q9NWB1","O15118_Q9NWB1"
"Q8NF37","Q7LBC6","Q7LBC6_Q8NF37"
"O15162","O60739","O15162_O60739"
"P55061","Q9BZE0","P55061_Q9BZE0"
"O15393","Q9H0I2","O15393_Q9H0I2"
"Q53GQ0","P20929","P20929_Q53GQ0"
"O95292","Q9NX70","O95292_Q9NX70"
"Q9UBM7","Q9P2D1","Q9P2D1_Q9UBM7"
"Q01344","Q53EU6","Q01344_Q53EU6"
"P20963","Q9UHR6","P20963_Q9UHR6"
"Q13277","Q9NUG6","Q13277_Q9NUG6"
"P13637","P05165","P05165_P13637"
"Q9UQV4","P09382","P09382_Q9UQV4"
"Q14416","Q9HAU4","Q14416_Q9HAU4"
"P08473","Q5VZ89","P08473_Q5VZ89"
"P48165","P42357","P42357_P48165"
"O00299","Q8N806","O00299_Q8N806"
"Q14789","O75052","O75052_Q14789"
"Q16288","Q92945","Q16288_Q92945"
"Q12846","Q9NQ50","Q12846_Q9NQ50"
"Q16891","O75822","O75822_Q16891"
"P81605","Q6P597","P81605_Q6P597"
"P17152","Q03519","P17152_Q03519"
"Q15077","O00400","O00400_Q15077"
"Q969P0","Q96C19","Q969P0_Q96C19"
"Q5JRA6","P13196","P13196_Q5JRA6"
"P08574","Q9BQY4","P08574_Q9BQY4"
"Q8N6L0","Q8ND83","Q8N6L0_Q8ND83"
"Q9P244","Q5TA45","Q5TA45_Q9P244"
"Q9BTV4","Q9Y5W5","Q9BTV4_Q9Y5W5"
"P56589","P22090","P22090_P56589"
"Q14627","Q9Y337","Q14627_Q9Y337"
"Q8WXI8","Q14119","Q14119_Q8WXI8"
"O43291","O60739","O43291_O60739"
"O60245","Q8ND24","O60245_Q8ND24"
"Q9BVK6","Q9BVC6","Q9BVC6_Q9BVK6"
"Q96E52","O15354","O15354_Q96E52"
"Q8WXI8","P21926","P21926_Q8WXI8"
"P53985","P10451","P10451_P53985"
"Q15070","A5D8V6","A5D8V6_Q15070"
"P19438","O96000","O96000_P19438"
"P11279","Q13216","P11279_Q13216"
"Q8NF91","Q9H410","Q8NF91_Q9H410"
"Q9Y6H6","P57678","P57678_Q9Y6H6"
"Q92611","Q2KHN1","Q2KHN1_Q92611"
"P49257","P55771","P49257_P55771"
